1;1;male;32;30.5
0;3;female;9;27.9
1;2;female;28;13
0;3;male;32;7.925
0;2;male;31;26.25
0;3;female;41;39.6875
0;3;male;20;7.8542
1;1;female;24;69.3
0;3;female;2;27.9
1;3;female;0.75;19.2583
1;1;male;48;76.7292
0;3;male;19;7.8958
1;1;male;56;35.5
1;3;female;23;7.55
1;2;female;18;23
0;3;male;21;8.4333
0;3;female;18;6.75
0;2;male;24;73.5
0;3;female;32;15.5
0;2;male;23;13
0;1;male;58;113.275
1;1;male;50;133.65
0;3;male;40;7.225
0;1;male;47;25.5875
0;3;male;36;7.4958
1;3;male;20;7.925
0;2;male;32;73.5
0;2;male;25;13
0;3;male;43;8.05
1;2;female;40;39
0;1;male;31;52
0;2;male;70;10.5
1;2;male;31;13
0;3;male;18;7.775
0;3;male;24.5;8.05
1;3;female;18;9.8417
0;3;female;43;46.9
1;1;male;36;512.3292
1;1;male;27;76.7292
0;3;male;20;9.225
0;3;male;14;46.9
0;2;male;60;39
0;2;male;25;41.5792
0;3;male;14;39.6875
0;3;male;19;10.1708
0;3;male;18;7.7958
1;1;female;15;211.3375
1;1;male;31;57
1;3;female;4;13.4167
0;3;male;25;7.225
0;1;male;60;26.55
0;2;male;52;13.5
0;3;male;44;8.05
0;1;male;49;110.8833
0;3;male;42;7.65
1;1;female;18;227.525
1;1;male;35;26.2875
0;3;female;18;14.4542
0;3;male;25;7.7417
0;3;male;26;7.8542
0;2;male;39;26
1;2;female;45;13.5
1;1;male;42;26.2875
1;1;female;22;151.55
1;1;female;24;49.5042
1;1;male;48;52
0;3;male;29;9.4833
0;2;male;52;13
0;3;male;19;7.65
1;1;female;38;227.525
1;2;female;27;10.5
0;3;male;33;7.775
1;2;female;6;33
0;3;male;17;7.0542
0;2;male;34;13
0;2;male;50;13
1;1;male;27;53.1
0;3;male;20;8.6625
1;2;female;30;21
0;2;male;25;26
0;3;female;25;7.925
1;1;female;29;211.3375
0;3;male;11;18.7875
0;2;male;23;13
0;2;male;23;13
0;3;male;28.5;16.1
0;3;female;48;34.375
1;1;male;35;512.3292
0;1;male;36;78.85
1;1;female;21;262.375
0;3;male;24;16.1
1;3;male;31;7.925
0;1;male;70;71
0;3;male;16;20.25
1;2;female;30;13
0;1;male;19;53.1
0;3;male;31;7.75
1;2;female;4;23
1;3;male;6;12.475
0;3;male;33;9.5
0;3;male;23;7.8958
1;2;female;48;65
1;2;male;0.67;14.5
0;3;male;28;7.7958
0;2;male;18;11.5
0;3;male;34;8.05
1;1;female;33;86.5
0;3;male;41;7.125
1;3;male;20;7.2292
1;1;female;36;120
0;3;male;16;7.775
1;1;female;51;77.9583
0;3;female;30.5;7.75
0;3;male;32;8.3625
0;3;male;24;9.5
0;3;male;48;7.8542
0;2;female;57;10.5
1;2;female;54;23
0;3;male;18;7.75
1;3;female;5;12.475
1;1;female;43;211.3375
1;3;female;13;7.2292
1;1;female;17;57
0;1;male;29;30
0;3;male;25;7.05
0;3;male;25;7.25
1;3;female;18;7.4958
0;3;male;8;29.125
1;3;male;1;20.575
0;1;male;46;79.2
0;2;male;16;26
0;3;male;25;7.8958
0;2;male;39;13
1;1;female;49;25.9292
1;3;female;31;8.6833
0;3;male;30;7.2292
0;3;female;30;24.15
0;2;male;34;13
1;2;female;31;26.25
1;1;male;11;120
1;3;male;0.42;8.5167
1;3;male;27;6.975
0;3;male;31;7.775
0;1;male;39;0
0;3;female;18;7.775
0;2;male;39;13
1;1;female;33;53.1
0;3;male;26;7.8875
0;3;male;39;24.15
0;2;male;35;10.5
0;3;female;6;31.275
0;3;male;30.5;8.05
0;3;female;23;7.925
0;2;male;31;37.0042
0;3;male;43;6.45
0;3;male;10;27.9
1;1;female;52;93.5
1;3;male;27;8.6625
0;1;male;38;0
1;3;female;27;12.475
0;3;male;2;39.6875
1;2;male;1;37.0042
1;1;female;62;80
1;3;female;15;14.4542
1;2;male;0.83;18.75
0;3;male;23;7.8542
0;3;male;18;8.3
1;1;female;39;83.1583
0;3;male;21;8.6625
1;3;male;32;56.4958
0;3;male;20;7.925
0;2;male;16;10.5
1;1;female;30;31
0;3;male;34.5;6.4375
0;3;male;17;8.6625
0;3;male;42;7.55
0;3;male;35;7.8958
0;2;male;28;33
0;3;male;4;31.275
0;3;male;74;7.775
0;3;female;9;15.2458
1;1;female;16;39.4
0;2;female;44;26
1;3;female;18;9.35
1;1;female;45;164.8667
1;1;male;51;26.55
1;3;female;24;19.2583
0;3;male;41;14.1083
0;2;male;21;11.5
1;1;female;48;25.9292
0;2;male;24;13
1;2;female;42;13
1;2;female;27;13.8583
0;1;male;31;50.4958
1;3;male;4;11.1333
0;3;male;26;7.8958
1;1;female;47;52.5542
0;1;male;33;5
0;3;male;47;9
1;2;female;28;24
1;3;female;15;7.225
0;3;male;20;9.8458
0;3;male;19;7.8958
1;1;female;56;83.1583
1;2;female;25;26
0;3;male;33;7.8958
0;3;female;22;10.5167
0;2;male;28;10.5
0;3;male;25;7.05
0;3;female;39;29.125
0;2;male;27;13
1;1;female;19;30
1;1;male;26;30
0;3;male;32;7.75
